126,83.110.8.194,172.31.21.236,1399720130,Chrome,56.0,Dubai,03,United Arab Emirates,AE,,25.2639,55.3081,25.116546099999997,55.384415499999996,",",https://g0.pe/Mdjvd,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",172.31.21.236,Mac OS X,,Mac OS X,10,False,2017-03-01 10:30:16.737,7,7,9,1270562
127,99.25.39.48,172.31.14.147,1662592816,Chrome,56.0,Union City,CA,United States,US,94587,37.5963,-122.0657,37.5907482,-122.02130729999999,"807,510",https://g0.pe/Mdjvd,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",172.31.14.147,Mac OS X,,Mac OS X,10,False,2017-03-01 10:30:48.007,7,7,9,911967
128,83.110.8.194,172.31.14.147,1399720130,Chrome,56.0,Dubai,03,United Arab Emirates,AE,,25.2639,55.3081,25.1143586,55.3813313,",",https://g0.pe/Mdjvd,"Mozilla/5.0 (Linux; Android 6.0.1; SM-N920C Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Mobile Safari/537.36",172.31.14.147,SM-N920C,Samsung,Android,6,True,2017-03-01 10:31:12.913,7,7,9,1270562
129,99.25.39.48,172.31.21.236,1662592816,Chrome,56.0,Union City,CA,United States,US,94587,37.5963,-122.0657,37.5907111,-122.02130729999999,"807,510",https://g0.pe/8AD1d,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",172.31.21.236,Windows 7,,Windows 7,NULL,False,2017-03-01 10:44:29.473,8,7,9,911967
130,83.110.8.194,172.31.21.236,1399720130,Chrome,56.0,Dubai,03,United Arab Emirates,AE,,25.2639,55.3081,25.1143586,55.3813313,",",https://g0.pe/8AD1d,"Mozilla/5.0 (Linux; Android 5.0; LG-D855 Build/LRX21R.A1445306351) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Mobile Safari/537.36",172.31.21.236,D855,LG,Android,5,True,2017-03-01 11:03:41.077,8,7,9,1270562
131,31.218.38.234,172.31.14.147,534390506,Safari,10.0,Abu Dhabi,01,United Arab Emirates,AE,,24.4667,54.3667,23.41416439043676,55.423439657367226,",",https://g0.pe/d98aA,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML, like Gecko) Version/10.0 Mobile/14D27 Safari/602.1",172.31.14.147,iPhone,Apple,iOS,10,True,2017-03-01 11:06:21.943,436,7,9,150231
132,83.110.8.194,172.31.14.147,1399720130,Chrome,56.0,Dubai,03,United Arab Emirates,AE,,25.2639,55.3081,25.1143586,55.3813313,",",https://g0.pe/Mdjvd,"Mozilla/5.0 (Linux; Android 6.0.1; SM-N920C Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Mobile Safari/537.36",172.31.14.147,SM-N920C,Samsung,Android,6,True,2017-03-01 11:18:39.407,7,7,9,1270562
133,86.99.32.125,172.31.14.147,1449336957,Chrome,38.0,Dubai,03,United Arab Emirates,AE,,25.2639,55.3081,0,0,",",https://g0.pe/G74b0,"Mozilla/5.0 (Linux; Android 5.1.1; SAMSUNG SM-J320F Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/3.5 Chrome/38.0.2125.102 Mobile Safari/537.36",172.31.14.147,SM-J320F,Samsung,Android,5,True,2017-03-01 11:24:01.727,1843,7,9,1387097
134,31.218.13.219,172.31.14.147,534384091,Chrome,51.0,Abu Dhabi,01,United Arab Emirates,AE,,24.4667,54.3667,0,0,",",https://g0.pe/AY4Ln,"Mozilla/5.0 (Linux; Android 7.0; SAMSUNG SM-G935F Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/5.0 Chrome/51.0.2704.106 Mobile Safari/537.36",172.31.14.147,SM-G935F,Samsung,Android,7,True,2017-03-01 11:26:31.497,3667,7,9,150227
135,37.245.168.179,172.31.21.236,636856499,Safari,10.0,Dubai,03,United Arab Emirates,AE,,25.2639,55.3081,24.274872393545266,55.77932019083904,",",https://g0.pe/d589x,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML, like Gecko) Version/10.0 Mobile/14D27 Safari/602.1",172.31.21.236,iPhone,Apple,iOS,10,True,2017-03-01 11:27:03.177,2200,7,9,179343
136,94.207.136.231,172.31.21.236,1590659303,Chrome,56.0,Dubai,03,United Arab Emirates,AE,,25.2639,55.3081,0,0,",",https://g0.pe/G7RkM,"Mozilla/5.0 (Linux; Android 5.0; SM-G900F Build/LRX21T; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/56.0.2924.87 Mobile Safari/537.36 [FB_IAB/MESSENGER;FBAV/106.0.0.23.70;]",172.31.21.236,SM-G900F,Samsung,Android,5,True,2017-03-01 11:30:55.997,4343,7,9,564008
